open_time,open,high,low,close,volume
2025-11-05T06:00:00+00:00,6788.75,6801,6783.5,6797.75,13243
2025-11-05T07:00:00+00:00,6798,6798.75,6786.25,6786.75,11929
2025-11-05T08:00:00+00:00,6787,6800.5,6782,6795,20166
2025-11-05T09:00:00+00:00,6795.25,6801,6787.75,6794,14062
2025-11-05T10:00:00+00:00,6793.75,6799,6773.25,6774,20479
2025-11-05T11:00:00+00:00,6773.5,6789,6771.5,6787,21336
2025-11-05T12:00:00+00:00,6787.25,6796.5,6782.25,6795.5,17738
2025-11-05T13:00:00+00:00,6795.5,6807.75,6790,6805.25,30755
2025-11-05T14:00:00+00:00,6805.5,6824.5,6789.75,6822.25,154658
2025-11-05T15:00:00+00:00,6821.75,6831.5,6809.25,6827.25,186242
2025-11-05T16:00:00+00:00,6827.25,6846.75,6816,6842.75,125024
2025-11-05T17:00:00+00:00,6842.5,6857.5,6839,6851,79005
2025-11-05T18:00:00+00:00,6851,6857.5,6848.75,6855.5,51636
2025-11-05T19:00:00+00:00,6855.25,6855.25,6846,6851.25,55894
2025-11-05T20:00:00+00:00,6851.25,6854.5,6823,6824.25,117047
2025-11-05T21:00:00+00:00,6824.25,6831,6819.75,6827.5,35802
2025-11-05T23:00:00+00:00,6829.25,6835.75,6820.75,6834.5,0
2025-11-06T00:00:00+00:00,6834.5,6835,6810.5,6821,23714
2025-11-06T01:00:00+00:00,6820.75,6820.75,6805.5,6815.25,20530
2025-11-06T02:00:00+00:00,6815,6823,6807.75,6822,13052
2025-11-06T03:00:00+00:00,6822,6826,6819,6823.25,10872
2025-11-06T04:00:00+00:00,6823.25,6827.5,6820,6826.5,5433
2025-11-06T05:00:00+00:00,6824.25,6826,6816.75,6817.75,6996
2025-11-06T06:00:00+00:00,6817.75,6821.5,6813.25,6815.25,8571
2025-11-06T07:00:00+00:00,6815.25,6821.5,6807.75,6808.5,12064
2025-11-06T08:00:00+00:00,6808.5,6814.75,6803.5,6812.75,18811
2025-11-06T09:00:00+00:00,6812.75,6827.5,6812.25,6823.75,12843
2025-11-06T10:00:00+00:00,6824,6833.5,6823,6828.75,9485
