open_time,open,high,low,close,volume
2026-07-26T22:00:00+00:00,28594.75,28646.75,28583.75,28623.25,20053
2026-07-26T22:30:00+00:00,28623.25,28642.25,28604,28609.75,17518
2026-07-26T23:00:00+00:00,28610.25,28640.25,28596.75,28617.5,20417
2026-07-26T23:30:00+00:00,28617.25,28733.5,28610,28728.25,40552
2026-07-27T00:00:00+00:00,28729,28732.5,28581.25,28617,74203
2026-07-27T00:30:00+00:00,28618,28656.75,28595,28597.75,42277
2026-07-27T01:00:00+00:00,28598.75,28635,28525.25,28538.75,47273
2026-07-27T01:30:00+00:00,28538.75,28621.5,28535.25,28614.25,40951
2026-07-27T02:00:00+00:00,28614.5,28653,28587,28639,31539
2026-07-27T02:30:00+00:00,28639.5,28658.25,28606,28614.75,23408
2026-07-27T03:00:00+00:00,28614.75,28650.75,28603.75,28619.25,21939
2026-07-27T03:30:00+00:00,28619.5,28636.75,28593.25,28612.75,19487
2026-07-27T04:00:00+00:00,28614.5,28647.25,28597.5,28620.5,17595
2026-07-27T04:30:00+00:00,28620,28663.5,28609.25,28644.75,14428
2026-07-27T05:00:00+00:00,28644,28684.5,28636.75,28679.25,13027
2026-07-27T05:30:00+00:00,28679.75,28705.5,28673.75,28694.75,13626
2026-07-27T06:00:00+00:00,28694.75,28728.5,28693.75,28697.5,16327
2026-07-27T06:30:00+00:00,28697.25,28715,28680.25,28693.5,13671
2026-07-27T07:00:00+00:00,28693.25,28732,28689,28704.75,19049
2026-07-27T07:30:00+00:00,28705.75,28705.75,28661.25,28662,19722
2026-07-27T08:00:00+00:00,28662.25,28724.5,28658.75,28720.5,21798
2026-07-27T08:30:00+00:00,28720.5,28749,28702.75,28736.5,16977
2026-07-27T09:00:00+00:00,28736.75,28739.25,28719.75,28726,12454
2026-07-27T09:30:00+00:00,28726,28763.75,28718,28744.5,14383
2026-07-27T10:00:00+00:00,28744.25,28754,28726.75,28738,11852
2026-07-27T10:30:00+00:00,28737.75,28758.75,28733.25,28741,9928
2026-07-27T11:00:00+00:00,28741,28744.5,28649,28652.75,24834
2026-07-27T11:30:00+00:00,28653.25,28685.5,28645.75,28672.75,24783
2026-07-27T12:00:00+00:00,28672.5,28697.75,28628.75,28650,31624
2026-07-27T12:30:00+00:00,28649,28693,28631.25,28691,30267
2026-07-27T13:00:00+00:00,28691,28702.75,28588,28590,48614
2026-07-27T13:30:00+00:00,28591.25,28617,28341.5,28347,393015
2026-07-27T14:00:00+00:00,28347.5,28372.5,28075.5,28086.5,322610
2026-07-27T14:30:00+00:00,28086.25,28180.5,27938.5,28170.5,367147
2026-07-27T15:00:00+00:00,28170,28198.75,28044.5,28072.5,234389
2026-07-27T15:30:00+00:00,28072.75,28085.5,27980.25,28062.5,174203
2026-07-27T16:00:00+00:00,28062.5,28204.5,28044.5,28154.75,167979
2026-07-27T16:30:00+00:00,28154.25,28196.25,28025,28047.25,111266
2026-07-27T17:00:00+00:00,28048,28056.25,27986.75,27998.25,92201
2026-07-27T17:30:00+00:00,27998.5,28106.25,27997.25,28104.5,87965
2026-07-27T18:00:00+00:00,28104.5,28121.5,28049.25,28082,77273
2026-07-27T18:30:00+00:00,28081.75,28191,28018.75,28188.25,104043
2026-07-27T19:00:00+00:00,28188,28244.75,28164.75,28243.25,81961
2026-07-27T19:30:00+00:00,28243.25,28255,28154.25,28192.75,94748
2026-07-27T20:00:00+00:00,28193.25,28220,28169.25,28194.5,30839
2026-07-27T20:30:00+00:00,28194,28231,28186.5,28210.25,12588
2026-07-27T22:00:00+00:00,28210.5,28229,28125.25,28129.25,18463
2026-07-27T22:30:00+00:00,28129,28157.75,28124.25,28132,16585
2026-07-27T23:00:00+00:00,28132.75,28163.5,28105,28161.25,22296
2026-07-27T23:30:00+00:00,28161,28178.75,28120.75,28163.25,23115
2026-07-28T00:00:00+00:00,28164.5,28195,28068.25,28104,54930
2026-07-28T00:30:00+00:00,28104.5,28139.75,28055,28071,44124
2026-07-28T01:00:00+00:00,28072,28078.75,27969.25,28058.75,54383
2026-07-28T01:30:00+00:00,28092.5,28095.5,28007.75,28020.25,36540
2026-07-28T02:00:00+00:00,28021,28030.25,27972.5,27987.25,38005
2026-07-28T02:30:00+00:00,27987,28007.25,27951.5,27992.75,33565
2026-07-28T03:00:00+00:00,27993,28046.75,27932.5,27987,39120
2026-07-28T03:30:00+00:00,27986.5,28071,27951.5,28051.25,32225
2026-07-28T04:00:00+00:00,28013.25,28016.75,27970,27973.75,21629
2026-07-28T04:30:00+00:00,27973.5,28003.75,27951.25,27956.25,15796
2026-07-28T05:00:00+00:00,27956.5,28190,27914.25,27920.25,19790
2026-07-28T05:30:00+00:00,27919.25,27924.25,27871.25,27881.25,27679
2026-07-28T06:00:00+00:00,27881.25,27908.5,27839.25,27902.25,34130
2026-07-28T06:30:00+00:00,27901.75,27959,27892,27945.75,23484
2026-07-28T07:00:00+00:00,27946,27988.25,27934.25,27943.25,24173
2026-07-28T07:30:00+00:00,27943,27962,27907.5,27932.5,21687
2026-07-28T08:00:00+00:00,27933.75,28008,27879.25,28002.5,34906
2026-07-28T08:30:00+00:00,28002.75,28052.75,27974,27994,23517
2026-07-28T09:00:00+00:00,27993.25,28018.5,27981.5,28013,12875
2026-07-28T09:30:00+00:00,28013.25,28013.5,27941.75,27956.5,12814
2026-07-28T10:00:00+00:00,27956.5,27969.75,27933.25,27968.5,12026
2026-07-28T10:30:00+00:00,27967.75,27981.25,27904.25,27944.25,22978
2026-07-28T11:00:00+00:00,27944,27958.75,27864.75,27883.75,35491
2026-07-28T11:30:00+00:00,27883.25,27974,27849,27963.5,29913
2026-07-28T12:00:00+00:00,27962.5,28019,27946.75,28010.5,29413
2026-07-28T12:30:00+00:00,28010.5,28034,27955.75,27993.75,35639
2026-07-28T13:00:00+00:00,27993,28028.5,27937.75,27952.5,43261
2026-07-28T13:30:00+00:00,27950.5,27993,27640.25,27666,367458
2026-07-28T14:00:00+00:00,27662.75,27793,27603.25,27706.25,280955
2026-07-28T14:30:00+00:00,27706.25,27892.5,27668.75,27802.5,212566
2026-07-28T15:00:00+00:00,27802.75,28010.75,27767.25,27964.5,191717
2026-07-28T15:30:00+00:00,27964.5,28062.75,27948.75,28048.5,123370
2026-07-28T16:00:00+00:00,28048,28068.75,27984.5,27994.75,100030
2026-07-28T16:30:00+00:00,27995.25,28079.75,27954,28057.75,101066
2026-07-28T17:00:00+00:00,28058,28066.5,27968.75,27996,92659
2026-07-28T17:30:00+00:00,27996.75,28042.25,27924.5,27974,74707
2026-07-28T18:00:00+00:00,27974.5,27999.75,27912,27926.5,73858
2026-07-28T18:30:00+00:00,27926.5,27979.5,27920,27972.5,68552
2026-07-28T19:00:00+00:00,27972.25,28021.75,27964.25,28017.75,75713
2026-07-28T19:30:00+00:00,28017.75,28024,27911.25,27919.75,89630
2026-07-28T20:00:00+00:00,27920.25,27991.75,27884,27977.75,46003
2026-07-28T20:30:00+00:00,27977,27984,27935.75,27959.75,13442
2026-07-28T22:00:00+00:00,27962.25,28014,27906.5,27939.5,24535
2026-07-28T22:30:00+00:00,27939,27943,27756.5,27757,49365
2026-07-28T23:00:00+00:00,27758,27891.75,27731.5,27889.5,57795
2026-07-28T23:30:00+00:00,27889.75,28105,27883.5,28102.75,60761
2026-07-29T00:00:00+00:00,28102.75,28177.25,28052,28075.75,61753
2026-07-29T00:30:00+00:00,28074.75,28085.25,28000.75,28010.25,43884
2026-07-29T01:00:00+00:00,28011.5,28042,27896.5,27972.75,54388
2026-07-29T01:30:00+00:00,27972.75,27982.5,27784,27785.25,49646
2026-07-29T02:00:00+00:00,27785.75,27897,27770,27894.75,50405
2026-07-29T02:30:00+00:00,27896.5,27912,27823.5,27840.5,33845
2026-07-29T03:00:00+00:00,27839.5,27882,27775.5,27777,38729
2026-07-29T03:30:00+00:00,27777.25,27793.25,27701.25,27717,37232
2026-07-29T04:00:00+00:00,27697.25,27714.75,27647.75,27684.25,42296
2026-07-29T04:30:00+00:00,27683.5,27759.75,27640.5,27757,39018
2026-07-29T05:00:00+00:00,27757.75,27834.75,27735.5,27815.75,41369
2026-07-29T05:30:00+00:00,27816,27854.75,27785,27794.75,32556
2026-07-29T06:00:00+00:00,27794.5,27813,27736.75,27809.75,30883
2026-07-29T06:30:00+00:00,27809.75,27941.75,27809,27929.75,28762
2026-07-29T07:00:00+00:00,27929,27952.5,27897.75,27946.75,24613
