open_time,open,high,low,close,volume
2026-08-17T00:00:00+00:00,485,488,482,482,4
2026-08-17T00:05:00+00:00,484,484,484,484,1
2026-08-17T00:15:00+00:00,484,484,484,484,2
2026-08-17T00:50:00+00:00,485,485,485,485,1
2026-08-17T01:00:00+00:00,484.5,484.5,484.5,484.5,3
2026-08-17T01:05:00+00:00,484.5,484.5,484.5,484.5,7
2026-08-17T01:10:00+00:00,484.5,484.5,484,484,8
2026-08-17T01:55:00+00:00,485,485,485,485,1
2026-08-17T02:15:00+00:00,484.5,484.5,484.5,484.5,1
2026-08-17T03:45:00+00:00,484.5,484.5,484.5,484.5,5
2026-08-17T04:30:00+00:00,484.5,484.5,484.5,484.5,1
2026-08-17T04:45:00+00:00,485,485,485,485,1
2026-08-17T05:15:00+00:00,485,485,485,485,1
2026-08-17T05:25:00+00:00,485,485,485,485,3
2026-08-17T06:05:00+00:00,485,485,485,485,1
2026-08-17T06:55:00+00:00,485,485,485,485,6
2026-08-17T07:05:00+00:00,485,485,484.5,484.5,9
2026-08-17T07:15:00+00:00,485,485,485,485,1
2026-08-17T07:20:00+00:00,485,485.5,485,485.5,2
2026-08-17T07:50:00+00:00,485,485,485,485,1
2026-08-17T08:05:00+00:00,484.5,484.5,484.5,484.5,3
2026-08-17T08:50:00+00:00,484.5,484.5,484.5,484.5,1
2026-08-17T09:10:00+00:00,485.5,485.5,485.5,485.5,1
2026-08-17T10:00:00+00:00,486.5,486.5,486.5,486.5,1
2026-08-17T10:05:00+00:00,486.5,486.5,486.5,486.5,1
2026-08-17T10:20:00+00:00,486,486,486,486,1
2026-08-17T10:50:00+00:00,484.5,484.5,484.5,484.5,10
2026-08-17T11:20:00+00:00,484,484,484,484,1
2026-08-17T11:55:00+00:00,485.5,485.5,485.5,485.5,13
2026-08-17T12:00:00+00:00,485.5,485.5,485.5,485.5,3
2026-08-17T12:10:00+00:00,486.5,486.5,486.5,486.5,1
2026-08-17T12:15:00+00:00,485.5,485.5,485.5,485.5,1
2026-08-17T12:20:00+00:00,485,485,485,485,1
2026-08-17T13:30:00+00:00,485,485,485,485,21
2026-08-17T13:35:00+00:00,484.5,485,484.5,485,26
2026-08-17T13:50:00+00:00,486,486,486,486,3
2026-08-17T13:55:00+00:00,486,486,486,486,1
2026-08-17T14:00:00+00:00,485.5,485.5,485.5,485.5,2
2026-08-17T14:15:00+00:00,485,485,485,485,1
2026-08-17T14:25:00+00:00,485,485,484.5,484.5,2
2026-08-17T14:30:00+00:00,486,486,486,486,1
2026-08-17T14:35:00+00:00,486,486.5,486,486.5,8
2026-08-17T14:40:00+00:00,485.5,486,485,486,12
2026-08-17T14:55:00+00:00,487,487,487,487,23
2026-08-17T15:00:00+00:00,487.5,487.5,487.5,487.5,1
2026-08-17T15:05:00+00:00,488,488.5,487.5,488.5,6
2026-08-17T15:10:00+00:00,488.5,488.5,488.5,488.5,1
